censustract,totalbuildinginsurancecoverage,policycount
48201340502,299423600,1478
48201340600,4056972800,18138
48201340700,3108377200,16182
48201340701,1591096200,7250
48201340702,1434497800,6496
48201340800,8051044600,36664
48201340900,1323603000,6232
48201341000,1180228800,7722
48201341001,387314000,1942
48201341002,818180000,4342
48201341100,830286800,3916
48201341101,436698000,2020
48201341102,244808000,790
48201341201,2144427200,11744
48201341202,5217780800,28836
48201341203,2416364800,14144
48201341204,4008287400,17074
48201341300,0,2
48201341301,2311417200,13616
48201341302,687710600,4668
48201341303,1455207400,7710
48201341304,425230800,1428
48201341400,12157239600,52292
48201341501,11144661400,50626
48201341502,8336060600,39844
48201341600,12277069800,60678
48201341700,4850215800,27536
48201341800,3731413200,17546
48201342001,9040765400,40040
48201342002,4476899400,20492
48201342100,4524797000,22214
48201342200,1572340800,7766
48201342300,2289575200,11810
48201342400,1176541400,6660
48201342500,7235628000,33780
48201342700,5134057200,24922
48201342800,5709684200,26338
48201342801,2166089800,9316
48201342802,1893699000,8012
48201342900,6681991600,33098
48201343000,4861425200,24186
48201343100,4147773000,23064
48201343200,5306103200,25140
48201343301,3712791800,18318
48201343302,4586914800,22984
48201343600,1846650800,9780
48201343601,104566000,356
48201343602,1660469200,8156
48201343700,3484836600,16530
48201350100,8976306600,39824
48201350101,1202676000,4988
48201350102,3610206400,14968
48201350103,2028732000,8722
48201350104,1221777400,4830
48201350200,3281926400,20280
48201350201,1630387000,8656
48201350202,1794868200,9324
48201350300,5932264400,28096
48201350400,5032126200,29136
48201350500,4866475800,28986
48201350600,750000,6
48201350601,3221612200,15956
48201350602,3428742600,17124
48201350603,1669286000,7352
48201350604,1278612600,5826
48201350700,3264845200,15868
48201350801,3329505400,18778
48201350802,3554301400,16116
48201350803,701460000,3410
48201350804,3601338000,13834
48201410100,710808800,3326
48201410101,228644000,1014
48201410102,171788000,770
48201410200,1012392000,4532
48201410201,152307200,532
48201410202,523014000,2268
48201410300,2452965800,14190
48201410401,3593602000,15672
48201410402,1975347800,8980
48201410500,1807364400,8388
48201410501,438966000,1836
48201410502,596296000,2664
48201410600,902744400,7456
48201410601,93000000,252
48201410602,133198000,562
48201410701,1229544800,5768
48201410702,491200800,2628
48201410703,467772400,1860
48201410704,396216600,1776
48201410705,471758000,2124
48201410706,235564000,940
48201410800,1014665600,4712
48201410801,458790000,1914
48201410802,470474000,2008
48201410900,1536513800,6906
48201411000,1086068200,5422
48201411001,294762000,1166
48201411002,225854000,934
48201411003,384794000,1696
48201411100,3108987200,12910
48201411200,2914035200,14962
48201411300,870195600,4316
48201411301,2180664000,8416
48201411302,318898000,1086
48201411400,3242542400,13162
48201411500,0,2
48201411501,1064897800,5110
48201411502,1003062000,4854
48201411503,577617400,2598
48201411504,138994800,634
48201411505,749556000,3088
48201411506,46000000,110
48201411507,206697600,1036
48201411600,3534788000,14700
48201411700,646039000,10988
48201411800,1761303600,8038
48201411801,1003916200,4358
48201411802,345537400,1446
48201411900,1609178200,9240
48201411901,924922000,3706
48201411902,518276000,1962
48201412000,4972128200,20900
48201412100,99400000,234
48201412200,3406841000,14102
48201412201,1365554000,5608
48201412202,1833191000,7426
48201412300,11554320400,47886
48201412400,7887357200,32586
48201412500,2958818400,12432
48201412600,5750362000,23720
48201412700,6782883800,29052
48201412800,11088985000,48442
48201412900,2063707600,9740
48201412901,138202800,432
48201412902,1635218200,6926
48201413000,6298947600,28116
48201413100,7134907800,30128
48201413201,550922200,2474
48201413202,874104000,6036
48201413203,195608400,840
48201413204,181352200,670
48201413205,1960667600,12030
48201413206,2290455200,16030
48201413300,4961544800,22872
48201413301,2511723200,12836
48201413302,3187087800,13292
48201420100,737821200,2682
48201420200,1331221000,6564
48201420300,5709315400,23836
48201420400,4293966800,19790
48201420500,257238800,1004
48201420600,3551920400,19330
48201420700,7593858400,32380
48201420800,6134072400,26656
48201420900,14047984000,60498
48201421000,5835040200,25036
48201421101,444675200,1854
48201421102,23281000,94
48201421103,3550000,66
48201421104,16072000,42
48201421201,0,14
48201421202,21820000,78
48201421204,51000000,102
48201421205,2000000,4
48201421300,377116800,3826
48201421301,22210600,80
48201421302,95222200,904
48201421401,13000000,28
48201421402,0,4
48201421403,202082400,1132
48201421500,818568600,3574
48201421501,740949600,3708
48201421502,62128000,438
48201421600,792238200,3870
48201421601,46050000,208
48201421602,852722400,3650
48201421700,5311027200,29040
48201421800,2558875600,11344
48201421801,389877600,1062
48201421802,1902707600,8262
48201421900,7102291200,30846
48201422000,4099441400,18006
48201422100,4580953200,25684
48201422200,168662000,816
48201422301,318801000,1950
48201422302,1524895600,8878
48201422303,16220000,90
48201422304,178386800,1206
48201422401,408060200,1992
48201422402,1737891200,7722
48201422403,989279800,4298
48201422404,965766200,3278
48201422405,28846400,82
48201422406,340114800,1278
48201422500,2359826600,10646
48201422501,903440600,3662
48201422502,1440587800,6162
48201422600,3360046800,21696
48201422601,1245062800,7764
48201422602,1329518000,7180
48201422701,1581721800,11158
48201422702,1245823200,7272
48201422800,2294974400,12696
48201422900,2517521800,15048
48201423000,1042480200,5774
48201423001,177418200,824
48201423002,900767200,4962
48201423100,410525000,1162
48201423201,1230773400,6304
48201423202,372747000,1530
48201423203,44178000,220
48201423204,161123200,898
48201423301,2920691200,14132
48201423302,829545200,4008
48201423303,114900000,460
48201423304,716298000,3174
48201423401,2013456600,9032
48201423402,904795400,4682
48201423500,1374169200,6296
48201423600,2404551600,14360
48201430100,1784978200,8522
48201430101,625638000,2848
48201430102,919846400,4872
48201430200,979956800,5196
48201430300,6184427200,25106
48201430400,4797803600,19374
48201430500,2735308200,11260
48201430600,5620668000,22822
48201430700,2927864200,13034
48201430800,6469296200,28702
48201430900,8535146200,38136
48201431000,4398153200,18954
48201431001,1466768000,6064
48201431002,2231652400,9218
48201431100,366000,2
48201431101,2227586800,10530
48201431102,599669000,2912
48201431201,98143000,580
48201431202,904612200,4274
48201431203,41000000,164
48201431204,1023026200,6192
48201431206,49560000,232
48201431301,177482600,1768
48201431302,3963134200,17028
48201431303,102264000,514
48201431304,112576000,794
48201431401,319839600,2376
48201431402,559740800,3604
48201431403,154584000,902
48201431404,245973200,1430
48201431501,852068600,6318
